,op_unique_carrier,origin,dest,distance,month,value,crs_arr_hour,Numerical_Week,Weekday,meanOfGrouping,arr_delay
30,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,19.730996504949708
31,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,19.730996504949708
32,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,19.730996504949708
33,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,17.986268000665095
34,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,17.986268000665095
35,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,17.986268000665095
36,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,17.986268000665095
37,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,17.986268000665095
38,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,19.166479007261998
39,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,19.166479007261998
40,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,19.166479007261998
41,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,19.166479007261998
42,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,19.166479007261998
43,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,20.91120751154661
44,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,20.91120751154661
45,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,20.91120751154661
46,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,20.91120751154661
47,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,4,23.2,20.91120751154661
48,DL,PHX,ATL,1587.0,1,Cloudy,11,1,5,23.2,11.25679958143012
49,DL,PHX,ATL,1587.0,1,Cloudy,11,1,5,23.2,11.25679958143012
50,DL,PHX,ATL,1587.0,1,Cloudy,11,1,5,23.2,11.25679958143012
51,DL,PHX,ATL,1587.0,1,Cloudy,11,1,5,23.2,11.25679958143012
52,DL,PHX,ATL,1587.0,1,Cloudy,11,1,5,23.2,11.25679958143012
53,WN,PHX,AUS,872.0,1,Patchy rain possible,20,1,2,21.0,17.454985766141014
54,AA,PHX,AUS,872.0,1,Patchy rain possible,20,1,2,21.0,18.0957224877329
55,AA,PHX,AUS,872.0,1,Patchy rain possible,20,1,3,21.0,19.872570435765354
56,AA,PHX,AUS,872.0,1,Patchy rain possible,20,1,4,21.0,20.28917409972698
57,AA,PHX,AUS,872.0,1,Cloudy,20,1,5,21.0,16.82082166236304
58,WN,PHX,AUS,872.0,1,Cloudy,20,1,5,21.0,16.238793167191528
59,AA,PHX,AUS,872.0,1,Heavy snow,20,1,6,21.0,17.9255287418228
60,WN,PHX,BNA,1449.0,1,Patchy rain possible,23,1,2,24.0,29.828110970818713
61,WN,PHX,BNA,1449.0,1,Patchy rain possible,23,1,3,24.0,31.986402499805987
62,WN,PHX,BNA,1449.0,1,Patchy rain possible,23,1,4,24.0,34.508817450981326
63,WN,PHX,BUR,369.0,1,Patchy rain possible,21,1,2,59.0,55.76614690841067
64,WN,PHX,BUR,369.0,1,Patchy rain possible,21,1,3,59.0,52.39214467132316
65,WN,PHX,BUR,369.0,1,Patchy rain possible,21,1,4,59.0,48.04162559361014
66,WN,PHX,BUR,369.0,1,Heavy snow,21,1,6,59.0,45.73173007330894
67,WN,PHX,BUR,369.0,1,Patchy rain possible,18,1,2,0.0,1.4153228787315688
68,WN,PHX,BUR,369.0,1,Patchy rain possible,18,1,2,0.0,1.4153228787315688
69,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,2,0.0,3.292808211382068
70,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,2,0.0,3.292808211382068
71,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,3,0.0,-2.818844101713692
72,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,3,0.0,-2.818844101713692
73,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,4,0.0,-9.118970145745815
74,YV,PHX,BUR,369.0,1,Patchy rain possible,18,1,4,0.0,-9.118970145745815
75,YV,PHX,BUR,369.0,1,Cloudy,18,1,5,0.0,-12.059430212253877
76,YV,PHX,BUR,369.0,1,Cloudy,18,1,5,0.0,-12.059430212253877
77,YV,PHX,BUR,369.0,1,Heavy snow,18,1,6,0.0,-5.657616616728077
78,YV,PHX,BUR,369.0,1,Heavy snow,18,1,6,0.0,-5.657616616728077
79,WN,PHX,DAL,879.0,1,Patchy rain possible,19,1,2,0.0,-5.2537571105802
80,WN,PHX,DAL,879.0,1,Heavy snow,19,1,6,0.0,-15.333259761952752
81,WN,PHX,DAL,879.0,1,Patchy rain possible,17,1,2,43.0,46.225061567459065
82,WN,PHX,DAL,879.0,1,Patchy rain possible,17,1,2,43.0,46.225061567459065
83,WN,PHX,DAL,879.0,1,Cloudy,17,1,5,43.0,39.06865444446229
84,WN,PHX,DAL,879.0,1,Cloudy,17,1,5,43.0,39.06865444446229
85,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,2,0.0,-1.9908520515332397
86,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,2,0.0,-1.9908520515332397
87,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,2,0.0,-1.9908520515332397
88,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,3,0.0,-5.364854288620741
89,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,3,0.0,-5.364854288620741
90,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,3,0.0,-5.364854288620741
91,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,4,0.0,-6.283861346407634
92,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,4,0.0,-6.283861346407634
93,WN,PHX,DEN,602.0,1,Patchy rain possible,21,1,4,0.0,-6.283861346407634
94,WN,PHX,DEN,602.0,1,Cloudy,21,1,5,0.0,-15.15884189871793
95,WN,PHX,DEN,602.0,1,Cloudy,21,1,5,0.0,-15.15884189871793
96,WN,PHX,DEN,602.0,1,Cloudy,21,1,5,0.0,-15.15884189871793
97,WN,PHX,DEN,602.0,1,Patchy rain possible,10,1,2,0.0,-1.9102551734637128
98,WN,PHX,DEN,602.0,1,Cloudy,10,1,5,0.0,-9.550083009734063
99,WN,PHX,DEN,602.0,1,Heavy snow,10,1,6,0.0,-8.444880790717542
100,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,2,0.0,-1.9102551734637128
101,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,2,0.0,-1.9102551734637128
102,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,2,0.0,1.3686641741681345
103,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,2,0.0,1.3686641741681345
104,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,3,0.0,-4.7429881389276325
105,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,3,0.0,-4.7429881389276325
106,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,3,0.0,-8.021907486559467
107,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,3,0.0,-8.021907486559467
108,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,4,0.0,-10.283118488924803
109,WN,PHX,DEN,602.0,1,Patchy rain possible,11,1,4,0.0,-10.283118488924803
110,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,4,0.0,-7.0803638824093325
111,AA,PHX,DEN,602.0,1,Patchy rain possible,11,1,4,0.0,-7.0803638824093325
112,AA,PHX,DEN,602.0,1,Cloudy,11,1,5,0.0,-7.251805924135545
113,AA,PHX,DEN,602.0,1,Cloudy,11,1,5,0.0,-7.251805924135545
114,AA,PHX,DEN,602.0,1,Heavy snow,11,1,6,0.0,-1.0881124110186864
115,AA,PHX,DEN,602.0,1,Heavy snow,11,1,6,0.0,-1.0881124110186864
116,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,2,0.0,-3.712761491169045
117,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,2,0.0,-3.712761491169045
118,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,3,0.0,-9.824413804264795
119,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,3,0.0,-9.824413804264795
120,UA,PHX,DEN,602.0,1,Patchy rain possible,12,1,3,0.0,-8.610777609792839
121,UA,PHX,DEN,602.0,1,Patchy rain possible,12,1,3,0.0,-8.610777609792839
122,UA,PHX,DEN,602.0,1,Patchy rain possible,12,1,4,0.0,-8.328999458170195
123,UA,PHX,DEN,602.0,1,Patchy rain possible,12,1,4,0.0,-8.328999458170195
124,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,4,0.0,-9.54263565264215
125,WN,PHX,DEN,602.0,1,Patchy rain possible,12,1,4,0.0,-9.54263565264215
126,OO,PHX,DEN,602.0,1,Cloudy,12,1,5,0.0,-9.342412347343988
127,OO,PHX,DEN,602.0,1,Cloudy,12,1,5,0.0,-9.342412347343988
128,WN,PHX,DEN,602.0,1,Heavy snow,12,1,6,0.0,-7.7043979544348895
129,WN,PHX,DEN,602.0,1,Heavy snow,12,1,6,0.0,-7.7043979544348895
130,WN,PHX,DEN,602.0,1,Patchy rain possible,23,1,2,14.0,14.805323683429494
131,WN,PHX,DEN,602.0,1,Patchy rain possible,23,1,2,14.0,14.805323683429494
132,WN,PHX,DEN,602.0,1,Patchy rain possible,23,1,2,14.0,14.805323683429494
133,WN,PHX,DEN,602.0,1,Patchy rain possible,23,1,2,14.0,14.805323683429494
134,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,3,14.0,14.276196376375925
135,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,3,14.0,14.276196376375925
136,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,3,14.0,14.276196376375925
137,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,3,14.0,14.276196376375925
138,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,4,14.0,11.987491413953808
139,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,4,14.0,11.987491413953808
140,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,4,14.0,11.987491413953808
141,AA,PHX,DEN,602.0,1,Patchy rain possible,23,1,4,14.0,11.987491413953808
142,AA,PHX,DEN,602.0,1,Cloudy,23,1,5,14.0,2.725195911566359
143,AA,PHX,DEN,602.0,1,Cloudy,23,1,5,14.0,2.725195911566359
144,AA,PHX,DEN,602.0,1,Cloudy,23,1,5,14.0,2.725195911566359
145,AA,PHX,DEN,602.0,1,Cloudy,23,1,5,14.0,2.725195911566359
146,AA,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,20.877824908865314
147,AA,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,20.877824908865314
148,AA,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,20.877824908865314
149,AA,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,20.877824908865314
150,WN,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,18.03973075078919
151,WN,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,18.03973075078919
152,WN,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,18.03973075078919
153,WN,PHX,DEN,602.0,1,Heavy snow,23,1,6,14.0,18.03973075078919
154,WN,PHX,ELP,347.0,1,Patchy rain possible,22,1,2,0.0,2.590079748001624
155,WN,PHX,ELP,347.0,1,Patchy rain possible,16,1,2,0.0,-3.2805488477557696
156,WN,PHX,ELP,347.0,1,Patchy rain possible,16,1,2,0.0,-3.2805488477557696
157,WN,PHX,HOU,1020.0,1,Patchy rain possible,17,1,2,10.75,9.917085458259885
158,WN,PHX,HOU,1020.0,1,Patchy rain possible,17,1,2,10.75,9.917085458259885
159,WN,PHX,HOU,1020.0,1,Patchy rain possible,17,1,2,10.75,9.917085458259885
160,WN,PHX,HOU,1020.0,1,Patchy rain possible,17,1,2,10.75,9.917085458259885
161,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,2,0.0,-3.825823474891568
162,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,2,0.0,-3.825823474891568
163,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,3,0.0,-6.816660566545905
164,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,3,0.0,-6.816660566545905
165,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,4,0.0,-5.314928286393168
166,WN,PHX,LAS,255.0,1,Patchy rain possible,17,1,4,0.0,-5.314928286393168
167,WN,PHX,LAS,255.0,1,Heavy snow,17,1,6,0.0,-3.6957269545095013
168,WN,PHX,LAS,255.0,1,Heavy snow,17,1,6,0.0,-3.6957269545095013
169,WN,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-8.228190602469049
170,WN,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-8.228190602469049
171,WN,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-8.228190602469049
172,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-5.168234257670939
173,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-5.168234257670939
174,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,2,0.0,-5.168234257670939
175,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,3,0.0,-8.159071349325266
176,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,3,0.0,-8.159071349325266
177,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,3,0.0,-8.159071349325266
178,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,4,0.0,-6.733503810288906
179,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,4,0.0,-6.733503810288906
180,AA,PHX,LAS,255.0,1,Patchy rain possible,11,1,4,0.0,-6.733503810288906
181,AA,PHX,LAS,255.0,1,Cloudy,11,1,5,0.0,4.794158837423148
182,AA,PHX,LAS,255.0,1,Cloudy,11,1,5,0.0,4.794158837423148
183,AA,PHX,LAS,255.0,1,Cloudy,11,1,5,0.0,4.794158837423148
184,WN,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736355654491308
185,WN,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736355654491308
186,WN,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736355654491308
187,AA,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736406484062724
188,AA,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736406484062724
189,AA,PHX,LAS,255.0,1,Heavy snow,11,1,6,0.0,-7.736406484062724
190,WN,PHX,LAX,370.0,1,Patchy rain possible,17,1,2,0.0,2.4734720357462106
191,WN,PHX,LAX,370.0,1,Patchy rain possible,17,1,3,0.0,-3.6381802773495506
192,WN,PHX,LAX,370.0,1,Patchy rain possible,17,1,4,0.0,-4.574132711085174
193,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,2,56.5,45.10827664716013
194,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,2,56.5,45.10827664716013
195,AA,PHX,LAX,370.0,1,Patchy rain possible,14,1,2,56.5,50.173225374070036
196,AA,PHX,LAX,370.0,1,Patchy rain possible,14,1,2,56.5,50.173225374070036
197,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,3,56.5,40.099573838529054
198,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,3,56.5,40.099573838529054
199,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,4,56.5,39.77102442653411
200,WN,PHX,LAX,370.0,1,Patchy rain possible,14,1,4,56.5,39.77102442653411
201,AA,PHX,LAX,370.0,1,Patchy rain possible,14,1,4,56.5,44.105464844450566
202,AA,PHX,LAX,370.0,1,Patchy rain possible,14,1,4,56.5,44.105464844450566
203,AA,PHX,LAX,370.0,1,Cloudy,14,1,5,56.5,69.7224476953158
204,AA,PHX,LAX,370.0,1,Cloudy,14,1,5,56.5,69.7224476953158
205,WN,PHX,LAX,370.0,1,Heavy snow,14,1,6,56.5,54.88554947258194
206,WN,PHX,LAX,370.0,1,Heavy snow,14,1,6,56.5,54.88554947258194
207,WN,PHX,LAX,370.0,1,Patchy rain possible,19,1,2,50.0,53.64554072440458
208,WN,PHX,LAX,370.0,1,Patchy rain possible,19,1,2,50.0,53.64554072440458
209,WN,PHX,LAX,370.0,1,Heavy snow,19,1,6,50.0,54.685067467736474
210,WN,PHX,LAX,370.0,1,Heavy snow,19,1,6,50.0,54.685067467736474
211,WN,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,2.4734720357462106
212,WN,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,2.4734720357462106
213,WN,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,2.4734720357462106
214,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,0.7218542120828241
215,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,0.7218542120828241
216,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,2,0.0,0.7218542120828241
217,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,3,0.0,-10.647989906761248
218,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,3,0.0,-10.647989906761248
219,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,3,0.0,-10.647989906761248
220,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,4,0.0,-16.943469994431762
221,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,4,0.0,-16.943469994431762
222,OO,PHX,LAX,370.0,1,Patchy rain possible,16,1,4,0.0,-16.943469994431762
223,WN,PHX,LAX,370.0,1,Cloudy,16,1,5,0.0,-0.299220215547081
224,WN,PHX,LAX,370.0,1,Cloudy,16,1,5,0.0,-0.299220215547081
225,WN,PHX,LAX,370.0,1,Cloudy,16,1,5,0.0,-0.299220215547081
226,WN,PHX,LAX,370.0,1,Heavy snow,16,1,6,0.0,-0.16832008418358005
227,WN,PHX,LAX,370.0,1,Heavy snow,16,1,6,0.0,-0.16832008418358005
228,WN,PHX,LAX,370.0,1,Heavy snow,16,1,6,0.0,-0.16832008418358005
229,WN,PHX,MDW,1444.0,1,Patchy rain possible,22,1,2,33.0,33.42344837993595
230,WN,PHX,MDW,1444.0,1,Patchy rain possible,22,1,2,33.0,33.42344837993595
231,WN,PHX,MDW,1444.0,1,Cloudy,22,1,5,33.0,27.506032126196505
232,WN,PHX,MDW,1444.0,1,Cloudy,22,1,5,33.0,27.506032126196505
233,WN,PHX,MKE,1460.0,1,Patchy rain possible,15,1,2,0.0,-8.514670118065265
234,WN,PHX,MKE,1460.0,1,Patchy rain possible,15,1,2,0.0,-8.514670118065265
235,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
236,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
237,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
238,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
239,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
240,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
241,WN,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,15.658112524916625
242,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
243,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
244,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
245,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
246,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
247,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
248,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,2,20.285714285714285,16.08042905900805
249,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
250,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
251,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
252,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
253,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
254,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
255,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,3,20.285714285714285,11.804491230386708
256,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
257,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
258,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
259,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
260,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
261,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
262,AA,PHX,MSP,1276.0,1,Patchy rain possible,17,1,4,20.285714285714285,13.347683701774967
263,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
264,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
265,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
266,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
267,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
268,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
269,AA,PHX,MSP,1276.0,1,Cloudy,17,1,5,20.285714285714285,7.099357175893748
270,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
271,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
272,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
273,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
274,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
275,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
276,AA,PHX,MSP,1276.0,1,Heavy snow,17,1,6,20.285714285714285,12.674288264875205
277,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,2,0.0,-12.097211243444645
278,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,2,0.0,-12.097211243444645
279,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,2,0.0,-8.277459981807212
280,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,2,0.0,-8.277459981807212
281,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,3,0.0,-11.828615018356201
282,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,3,0.0,-11.828615018356201
283,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,3,0.0,-8.008863756718767
284,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,3,0.0,-8.008863756718767
285,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,4,0.0,-12.15055654675921
286,WN,PHX,MSY,1300.0,1,Patchy rain possible,14,1,4,0.0,-12.15055654675921
287,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,4,0.0,-7.480182956513244
288,AA,PHX,MSY,1300.0,1,Patchy rain possible,14,1,4,0.0,-7.480182956513244
289,WN,PHX,MSY,1300.0,1,Cloudy,14,1,5,0.0,-14.51633930946784
290,WN,PHX,MSY,1300.0,1,Cloudy,14,1,5,0.0,-14.51633930946784
291,AA,PHX,MSY,1300.0,1,Cloudy,14,1,5,0.0,-10.868068172490725
292,AA,PHX,MSY,1300.0,1,Cloudy,14,1,5,0.0,-10.868068172490725
293,AA,PHX,MSY,1300.0,1,Heavy snow,14,1,6,0.0,-11.658084111955716
294,AA,PHX,MSY,1300.0,1,Heavy snow,14,1,6,0.0,-11.658084111955716
295,WN,PHX,MSY,1300.0,1,Heavy snow,14,1,6,0.0,-16.692567386736165
